seed,family,setting,held_out_subject_r1,semantic_probe_r2,acoustic_probe_r2,residual_energy
0,ridge,0,0.9285714285714286,0.25785553455352783,-0.3045346140861511,0.1817682385444641
0,ridge,1e-06,0.9285714285714286,0.2578555643558502,-0.3045344948768616,0.1817682385444641
0,ridge,0.0001,0.9285714285714286,0.25787630677223206,-0.30456075072288513,0.18176832795143127
0,ridge,0.001,0.9285714285714286,0.2580655515193939,-0.30479905009269714,0.18177282810211182
0,ridge,0.01,1.0,0.25975868105888367,-0.3069382309913635,0.18209436535835266
0,ridge,0.1,1.0,0.2694171965122223,-0.31793197989463806,0.1883273869752884
0,lags,no_lag,1.0,0.3740057051181793,0.29079049825668335,0.7137622833251953
0,lags,0_1,1.0,0.3509426414966583,0.07108163088560104,0.3802710771560669
0,lags,0_2,1.0,0.28935396671295166,-0.48976558446884155,0.24595727026462555
0,lags,0_4,0.9285714285714286,0.2580655515193939,-0.30479905009269714,0.18177282810211182
0,lags,neg1_4,0.9285714285714286,0.20269633829593658,-0.23907695710659027,0.15163248777389526
0,lags,wrong_3_5,1.0,0.3424188494682312,-0.2165820598602295,0.26923102140426636
0,feature_count,1,0.9285714285714286,0.4702363908290863,0.572748601436615,0.6738422513008118
0,feature_count,2,0.9285714285714286,0.36263325810432434,0.4954257905483246,0.399537056684494
0,feature_count,3,0.9285714285714286,0.2580655515193939,-0.30479905009269714,0.18177282810211182
0,intercept,false,0.9285714285714286,0.2580655515193939,-0.30479905009269714,0.18177282810211182
0,intercept,true,0.9285714285714286,-2.985225933116453e-08,-5.979641173325945e-06,0.10629759728908539
1,ridge,0,0.9285714285714286,0.3791861832141876,0.2416815459728241,0.21504159271717072
1,ridge,1e-06,0.9285714285714286,0.3791862726211548,0.24168166518211365,0.21504159271717072
1,ridge,0.0001,0.9285714285714286,0.37930428981781006,0.24173103272914886,0.21504168212413788
1,ridge,0.001,0.9285714285714286,0.38035497069358826,0.24217025935649872,0.21504805982112885
1,ridge,0.01,0.9285714285714286,0.3890804648399353,0.24586477875709534,0.21548902988433838
1,ridge,0.1,0.9285714285714286,0.4253908693790436,0.2634548544883728,0.22306279838085175
1,lags,no_lag,0.9285714285714286,0.8095051646232605,-0.17961566150188446,0.7418695092201233
1,lags,0_1,0.9285714285714286,0.7738965153694153,0.09019016474485397,0.4207408130168915
1,lags,0_2,1.0,0.6215827465057373,0.4856795072555542,0.2920864224433899
1,lags,0_4,0.9285714285714286,0.38035497069358826,0.24217025935649872,0.21504805982112885
